geometry,current,field,err,
bottom,0.1,9.2,,92
,0.2,18.6,,93
,0.3,27.9,,93
,0.4,37.5,,93.75
,0.5,47,,94
,0.6,56.9,,94.83333333
,0.7,66.3,,94.71428571
,0.8,75.5,,94.375
,0.9,84.9,,94.33333333
,1,94.6,,94.6
,1.5,142.1,,94.73333333
,2,189.7,,94.85
,4,381.2,,95.3
,5,477.1,,95.42
,0,-0.3,,#DIV/0!
,,,,
mid,0.1,9.8,,
,0.2,20.6,,
,0.3,,,
,0.4,41.5,,
,0.5,,,
,0.6,62.2,,
,0.7,,,
,0.8,82.9,,
,0.9,,,
,1,103.5,,
,1.5,155,,
,2,207,,
,4,412,,
,5,514.5,,
,0,3.1,,
,,,,
,,,,
middle in radius and height,0,0,,
,0.1,10.5,105,
,0.6,60.5,100.8333333,
,0.8,80.9,101.125,
