Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),heat_current(A),coil_current_order(A), sample_current_order(A)
10,49.83,-2.8765e-05,0,0,0.15,0,0
10.516,49.83,0.00031084,0.035714,0,0.15,0,0.035714
11.078,49.83,0.00064864,0.071429,0,0.15,0,0.071429
11.594,49.83,0.00098854,0.10714,0,0.15,0,0.10714
12.141,49.83,0.0013258,0.14286,0,0.15,0,0.14286
12.703,49.83,0.0016646,0.17857,0,0.15,0,0.17857
13.219,49.84,0.0020023,0.21429,0,0.15,0,0.21429
13.813,49.84,0.0023416,0.25,0,0.15,0,0.25
14.375,49.84,0.0026786,0.28571,0,0.15,0,0.28571
14.938,49.84,0.0030174,0.32143,0,0.15,0,0.32143
15.453,49.84,0.0033543,0.35714,0,0.15,0,0.35714
16,49.84,0.0036939,0.39286,0,0.15,0,0.39286
16.531,49.84,0.0040318,0.42857,0,0.15,0,0.42857
17.078,49.84,0.0043723,0.46429,0,0.15,0,0.46429
17.594,49.84,0.0047102,0.5,0,0.15,0,0.5
18.156,49.84,-2.8886e-05,0,0.075,0.15,0.075,0
18.688,49.84,0.00030981,0.035714,0.075,0.15,0.075,0.035714
19.234,49.84,0.00064776,0.071429,0.075,0.15,0.075,0.071429
19.75,49.84,0.00098632,0.10714,0.075,0.15,0.075,0.10714
20.234,0.44,0.0013242,0.14286,0.075,0.15,0.075,0.14286
20.719,49.84,0.0016631,0.17857,0.075,0.15,0.075,0.17857
21.266,49.84,0.0019992,0.21429,0.075,0.15,0.075,0.21429
21.813,49.84,0.00234,0.25,0.075,0.15,0.075,0.25
22.359,49.84,0.0026767,0.28571,0.075,0.15,0.075,0.28571
22.875,49.84,0.0030151,0.32143,0.075,0.15,0.075,0.32143
23.359,49.84,0.0033523,0.35714,0.075,0.15,0.075,0.35714
23.844,49.84,0.0036924,0.39286,0.075,0.15,0.075,0.39286
24.313,49.84,0.004029,0.42857,0.075,0.15,0.075,0.42857
24.859,49.84,0.0043691,0.46429,0.075,0.15,0.075,0.46429
25.422,49.84,0.0047069,0.5,0.075,0.15,0.075,0.5
25.922,49.84,-2.8006e-05,0,0.15,0.15,0.15,0
26.5,49.84,0.00031007,0.035714,0.15,0.15,0.15,0.035714
27.016,49.84,0.00064799,0.071429,0.15,0.15,0.15,0.071429
27.563,49.86,0.00098636,0.10714,0.15,0.15,0.15,0.10714
28.109,49.86,0.0013241,0.14286,0.15,0.15,0.15,0.14286
28.656,49.86,0.0016613,0.17857,0.15,0.15,0.15,0.17857
29.172,49.86,0.0019989,0.21429,0.15,0.15,0.15,0.21429
29.734,49.86,0.0023379,0.25,0.15,0.15,0.15,0.25
30.281,49.86,0.0026749,0.28571,0.15,0.15,0.15,0.28571
30.828,49.86,0.0030143,0.32143,0.15,0.15,0.15,0.32143
31.344,49.86,0.0033518,0.35714,0.15,0.15,0.15,0.35714
31.906,49.86,0.0036902,0.39286,0.15,0.15,0.15,0.39286
32.422,49.86,0.0040277,0.42857,0.15,0.15,0.15,0.42857
32.969,49.86,0.0043684,0.46429,0.15,0.15,0.15,0.46429
33.563,49.86,0.004706,0.5,0.15,0.15,0.15,0.5
34.156,49.86,-2.7714e-05,0,0.225,0.15,0.225,0
34.672,49.86,0.00031089,0.035714,0.225,0.15,0.225,0.035714
35.188,49.86,0.00064819,0.071429,0.225,0.15,0.225,0.071429
35.781,49.86,0.00098643,0.10714,0.225,0.15,0.225,0.10714
36.297,49.86,0.0013239,0.14286,0.225,0.15,0.225,0.14286
36.844,49.86,0.0016625,0.17857,0.225,0.15,0.225,0.17857
37.359,49.87,0.0019995,0.21429,0.225,0.15,0.225,0.21429
37.906,49.87,0.0023376,0.25,0.225,0.15,0.225,0.25
38.469,49.87,0.0026748,0.28571,0.225,0.15,0.225,0.28571
39.016,49.87,0.0030138,0.32143,0.225,0.15,0.225,0.32143
39.563,49.87,0.0033519,0.35714,0.225,0.15,0.225,0.35714
40.078,49.87,0.0036896,0.39286,0.225,0.15,0.225,0.39286
40.625,49.87,0.0040294,0.42857,0.225,0.15,0.225,0.42857
41.188,49.87,0.0043686,0.46429,0.225,0.15,0.225,0.46429
41.672,0.44,0.0047059,0.5,0.225,0.15,0.225,0.5
42.141,49.88,-2.844e-05,0,0.3,0.15,0.3,0
42.672,49.88,0.0003109,0.035714,0.3,0.15,0.3,0.035714
43.234,49.88,0.00064793,0.071429,0.3,0.15,0.3,0.071429
43.781,49.88,0.00098583,0.10714,0.3,0.15,0.3,0.10714
44.328,49.88,0.0013232,0.14286,0.3,0.15,0.3,0.14286
44.875,49.88,0.0016617,0.17857,0.3,0.15,0.3,0.17857
45.406,49.88,0.0019991,0.21429,0.3,0.15,0.3,0.21429
45.953,49.88,0.0023385,0.25,0.3,0.15,0.3,0.25
46.5,49.88,0.0026753,0.28571,0.3,0.15,0.3,0.28571
47.063,49.88,0.0030137,0.32143,0.3,0.15,0.3,0.32143
47.578,49.88,0.0033513,0.35714,0.3,0.15,0.3,0.35714
48.125,49.88,0.0036903,0.39286,0.3,0.15,0.3,0.39286
48.719,49.88,0.0040289,0.42857,0.3,0.15,0.3,0.42857
49.266,49.88,0.0043684,0.46429,0.3,0.15,0.3,0.46429
49.813,49.88,0.0047066,0.5,0.3,0.15,0.3,0.5
50.375,49.88,-2.7444e-05,0,0.375,0.15,0.375,0
50.906,49.89,0.0003112,0.035714,0.375,0.15,0.375,0.035714
51.422,49.89,0.0006484,0.071429,0.375,0.15,0.375,0.071429
51.969,49.89,0.00098689,0.10714,0.375,0.15,0.375,0.10714
52.516,49.89,0.0013237,0.14286,0.375,0.15,0.375,0.14286
53.078,49.88,0.0016627,0.17857,0.375,0.15,0.375,0.17857
53.625,49.89,0.0019985,0.21429,0.375,0.15,0.375,0.21429
54.172,49.89,0.0023383,0.25,0.375,0.15,0.375,0.25
54.688,49.89,0.0026755,0.28571,0.375,0.15,0.375,0.28571
55.25,49.89,0.0030145,0.32143,0.375,0.15,0.375,0.32143
55.766,49.89,0.0033517,0.35714,0.375,0.15,0.375,0.35714
56.313,49.89,0.0036909,0.39286,0.375,0.15,0.375,0.39286
56.859,49.89,0.004028,0.42857,0.375,0.15,0.375,0.42857
57.406,49.89,0.0043675,0.46429,0.375,0.15,0.375,0.46429
57.922,49.89,0.004707,0.5,0.375,0.15,0.375,0.5
58.516,49.89,-2.8154e-05,0,0.45,0.15,0.45,0
59.047,49.89,0.00031147,0.035714,0.45,0.15,0.45,0.035714
59.594,49.89,0.00064867,0.071429,0.45,0.15,0.45,0.071429
60.188,49.89,0.00098745,0.10714,0.45,0.15,0.45,0.10714
60.734,49.89,0.0013246,0.14286,0.45,0.15,0.45,0.14286
61.281,49.89,0.0016631,0.17857,0.45,0.15,0.45,0.17857
61.797,49.89,0.0019992,0.21429,0.45,0.15,0.45,0.21429
62.359,49.89,0.0023391,0.25,0.45,0.15,0.45,0.25
62.906,49.89,0.0026757,0.28571,0.45,0.15,0.45,0.28571
63.422,49.89,0.0030147,0.32143,0.45,0.15,0.45,0.32143
63.969,49.89,0.003352,0.35714,0.45,0.15,0.45,0.35714
64.516,49.89,0.0036912,0.39286,0.45,0.15,0.45,0.39286
65.078,49.89,0.0040287,0.42857,0.45,0.15,0.45,0.42857
65.594,49.89,0.0043697,0.46429,0.45,0.15,0.45,0.46429
66.141,49.89,0.0047075,0.5,0.45,0.15,0.45,0.5
66.656,49.89,-2.8102e-05,0,0.525,0.15,0.525,0
67.219,49.9,0.00031104,0.035714,0.525,0.15,0.525,0.035714
67.766,49.89,0.00064782,0.071429,0.525,0.15,0.525,0.071429
68.328,49.9,0.00098719,0.10714,0.525,0.15,0.525,0.10714
68.906,49.89,0.0013243,0.14286,0.525,0.15,0.525,0.14286
69.422,49.9,0.0016628,0.17857,0.525,0.15,0.525,0.17857
69.969,49.89,0.0019998,0.21429,0.525,0.15,0.525,0.21429
70.563,49.9,0.0023395,0.25,0.525,0.15,0.525,0.25
71.078,49.9,0.0026768,0.28571,0.525,0.15,0.525,0.28571
71.625,49.9,0.0030159,0.32143,0.525,0.15,0.525,0.32143
72.141,49.9,0.0033531,0.35714,0.525,0.15,0.525,0.35714
72.766,49.9,0.0036926,0.39286,0.525,0.15,0.525,0.39286
73.313,49.91,0.0040294,0.42857,0.525,0.15,0.525,0.42857
73.875,49.91,0.0043711,0.46429,0.525,0.15,0.525,0.46429
74.391,49.91,0.0047091,0.5,0.525,0.15,0.525,0.5
74.938,49.91,-2.753e-05,0,0.6,0.15,0.6,0
75.469,49.91,0.00031077,0.035714,0.6,0.15,0.6,0.035714
75.984,49.91,0.00064914,0.071429,0.6,0.15,0.6,0.071429
76.578,49.91,0.00098736,0.10714,0.6,0.15,0.6,0.10714
77.094,49.91,0.001325,0.14286,0.6,0.15,0.6,0.14286
77.641,49.91,0.001664,0.17857,0.6,0.15,0.6,0.17857
78.156,49.91,0.0020002,0.21429,0.6,0.15,0.6,0.21429
78.703,49.91,0.0023405,0.25,0.6,0.15,0.6,0.25
79.266,49.91,0.0026773,0.28571,0.6,0.15,0.6,0.28571
79.813,49.91,0.0030166,0.32143,0.6,0.15,0.6,0.32143
80.328,49.92,0.0033542,0.35714,0.6,0.15,0.6,0.35714
80.813,49.91,0.0036927,0.39286,0.6,0.15,0.6,0.39286
81.281,49.92,0.0040311,0.42857,0.6,0.15,0.6,0.42857
81.766,49.92,0.0043707,0.46429,0.6,0.15,0.6,0.46429
82.313,49.92,0.0047095,0.5,0.6,0.15,0.6,0.5
82.875,49.92,-2.7775e-05,0,0.675,0.15,0.675,0
83.406,49.92,0.0003112,0.035714,0.675,0.15,0.675,0.035714
83.953,49.92,0.00064818,0.071429,0.675,0.15,0.675,0.071429
84.5,49.92,0.00098786,0.10714,0.675,0.15,0.675,0.10714
85.016,49.92,0.0013255,0.14286,0.675,0.15,0.675,0.14286
85.578,49.92,0.0016639,0.17857,0.675,0.15,0.675,0.17857
86.094,49.92,0.0020012,0.21429,0.675,0.15,0.675,0.21429
86.672,49.92,0.0023407,0.25,0.675,0.15,0.675,0.25
